,beer_name,rating,review,Filtered review,sim_score
13,Notorious Triple IPA,4.87,"

Had this on tap on 12/3 at Growler Guys in Portland.

A: Pours a golden orange color with minimal white head. Very small amounts of thin white lacing throughout.

S: Big fruity/citrusy aromas of pineapple, orange, and guava. Milder notes of dank, piney, and earthy hops.

T: Taste matches aromas well. Super juicy with fruity notes of pineapple, mango, peach, papaya, guava, orange, and tangerine followed by a very slight piney, hoppy bitterness.

F: Light to medium bodied, super smooth, with a small to moderate amount of carbonation.

O: Overall, this is a great TIPA. Super fruity, but not overly sweet. Very drinkable, ABV is almost entirely hidden and for 11.5-12% that is unreal. Would love to try this stuff fresh from the lines. Would definitely seek this out again.

 "," tap 12/3 Growler Guys Portland . : Pours golden orange color minimal white head . small amounts thin white lacing throughout . : Big fruity/citrusy aromas pineapple , orange , guava . Milder notes dank , piney , earthy hops . : Taste matches aromas well . Super juicy fruity notes pineapple , mango , peach , papaya , guava , orange , tangerine followed slight piney , hoppy bitterness . F : Light medium bodied , super smooth , small moderate amount carbonation . : Overall , great TIPA . Super fruity , overly sweet . drinkable , ABV almost entirely hidden 11.5-12 % unreal . Would love try stuff fresh lines . Would definitely seek .",0.8602368593014316
14,Lou Pepe - Kriek,4.59,"

Cherry red with a touch of amber, lots of carbonation, a hint of haze, and a finger of Pepto Bismol pink head.

Smells acidic and fruity, of vinegar, cherries, spices . Notes of cloves and nutmeg, deep, cellar like funk, and dusty attic, just like the Cantillon Brewery where I purchased this masterpiece at the end of 2013.

Sour, dry and fruity. Very acidic but with a softness that makes it non abrasive. The essence of cherries and red fruits are in there, along with the breweries classic funk and cellar and dust. Cobwebs come to mind, and macaroni. Floral notes are also present.

Medium body, moderate, foamy carbonation, and a very dry but smooth finish.

The label says 2011, so when I purchased this in Brussels at the brewery in 2013, it was already 2 years old. Today its been in the bottle for 5 years. Amazing, legendary, classic brew I've been cellaring in China and now in Thailand for 3 and a half years. It was one of my favourite days in Belgium, the day I got this brew. May 7th, 2017.

 "," Cherry red touch amber , lots carbonation , hint haze , finger Pepto Bismol pink head . Smells acidic fruity , vinegar , cherries , spices . Notes cloves nutmeg , deep , cellar like funk , dusty attic , like Cantillon Brewery purchased masterpiece end 2013 . Sour , dry fruity . acidic softness makes non abrasive . essence cherries red fruits , along breweries classic funk cellar dust . Cobwebs come mind , macaroni . Floral notes also present . Medium body , moderate , foamy carbonation , dry smooth finish . label says 2011 , purchased Brussels brewery 2013 , already 2 years old . Today bottle 5 years . Amazing , legendary , classic brew 've cellaring China Thailand 3 half years . one favourite days Belgium , day got brew . May 7th , 2017 .",0.8600928237072001
15,Oude Geuze Golden Blend,4.4,"

Look: Orange, clear with 3 inch fluffy head. Highly carbonated.
Smell: Tart, light funk, and apples.
Taste: Slightly tart, funk, grapefruit, pear, and apples.
Mouthfeel: On the thinner side.
Overall: A good Geuze, but I much prefer Cantillon.

 "," Look : Orange , clear 3 inch fluffy head . Highly carbonated . Smell : Tart , light funk , apples . Taste : Slightly tart , funk , grapefruit , pear , apples . Mouthfeel : thinner side . Overall : good Geuze , much prefer Cantillon .",0.8600633059606817
16,Stickee Monkee,4.36,"

L-Pours a dark mahogany, little evidence of carbonation.........small 1/4 inch head that quickly dissipates.......mild lacing with little retention

S-dark candied sugars, dark fruits such as plums, figs, raisins, some notes of chocolate, vanilla, caramel, barrel, tobacco

T-Burnt candied sugars, bourbon barrel, vanilla, molasses, caramel, very similar to the nose but the flavors are far more pronounce than the aroma's.........tobacco, dark fruits (cherries, raisins, plum)

F-Mouthfeel fits the style, slight fizz, sticky, semi-sweet but with a nice warming boozy burn........leaves a sweet syrupy coating in the mouth long after the sip is gone

O-Well done, quite enjoyable.......complex, bold flavors

 "," L-Pours dark mahogany , little evidence carbonation ... ... ... small 1/4 inch head quickly dissipates ... ... .mild lacing little retention S-dark candied sugars , dark fruits plums , figs , raisins , notes chocolate , vanilla , caramel , barrel , tobacco T-Burnt candied sugars , bourbon barrel , vanilla , molasses , caramel , similar nose flavors far pronounce aroma 's ... ... ... tobacco , dark fruits ( cherries , raisins , plum ) F-Mouthfeel fits style , slight fizz , sticky , semi-sweet nice warming boozy burn ... ... ..leaves sweet syrupy coating mouth long sip gone O-Well done , quite enjoyable ... ... .complex , bold flavors",0.8596809302470919
17,Susan,4.58,"

Appearance: hazy light orange in color with a 2"" head that slowly falls to a thick surface covering. Nice lace develops.

Smell: oranges, tropical fruit, with a grassy and floral aroma.

Taste: caramel, mango, pineapple, pears, grass, and a floral bitterness.

Mouthfeel: medium bodied beer. Crisp throught. A lightly dry finish.

Overall: a superb beer, perfectly balanced and refreshing.

 "," Appearance : hazy light orange color 2 '' head slowly falls thick surface covering . Nice lace develops . Smell : oranges , tropical fruit , grassy floral aroma . Taste : caramel , mango , pineapple , pears , grass , floral bitterness . Mouthfeel : medium bodied beer . Crisp throught . lightly dry finish . Overall : superb beer , perfectly balanced refreshing .",0.859036994672948
18,Medianoche - Coconut,4.31,"

Poured from a bottle (received in trade) at 55 degrees...
Nice black pour with thin tan foam, nice coating of the glass...
smell is incredible--mounds bar on steroids...
taste is coconut and unsweetened baker's chocolate, with a slightly strange flavor that I can't pinpoint-- not unpleasant, just noticeable and slightly distracting (it may grow on me!)...
Hides the alcohol well, and nicely-not-sweet (hate overly sweet stouts)...
Overall, a delicious coconut stout that's crushable,... I still prefer prop 13 (and snowed in) for more barrel/coconut/concentration.... but this is a close second (next up, coconut ANTEAD)

 "," Poured bottle ( received trade ) 55 degrees ... Nice black pour thin tan foam , nice coating glass ... smell incredible -- mounds bar steroids ... taste coconut unsweetened baker 's chocolate , slightly strange flavor ca n't pinpoint -- unpleasant , noticeable slightly distracting ( may grow ! ) ... Hides alcohol well , nicely-not-sweet ( hate overly sweet stouts ) ... Overall , delicious coconut stout 's crushable , ... still prefer prop 13 ( snowed ) barrel/coconut/concentration ... . close second ( next , coconut ANTEAD )",0.8588808669335737
19,Grey Monday,4.43,"

03/2014 - There's certainly ethanol up front, with bourbon, Nutella, and some anise; decent mouthfeel that lasts with cocoa, plum, tobacco; subtle heat and booze, creamy and sweet finish.

 "," 03/2014 - 's certainly ethanol front , bourbon , Nutella , anise ; decent mouthfeel lasts cocoa , plum , tobacco ; subtle heat booze , creamy sweet finish .",0.8587574754106384
20,Everett Porter,4.5,"

Bottled 2/24/16; drank 5/13/16 @ Golgi Apparatus.

Brown/black appearance.

Big, noisy tan head; nice lace.

Roasted coffee bean, fresh flowers & milk chocolate notes in the nose; unique!

Medium mouthfeel.

Roasted coffee bean & cream flavors up front; milk chocolate notes on the finish. Fresh flower notes emerged as this warmed.

The floral touches added unexpected depth to an already strong porter; great!

 "," Bottled 2/24/16 ; drank 5/13/16 @ Golgi Apparatus . Brown/black appearance . Big , noisy tan head ; nice lace . Roasted coffee bean , fresh flowers & milk chocolate notes nose ; unique ! Medium mouthfeel . Roasted coffee bean & cream flavors front ; milk chocolate notes finish . Fresh flower notes emerged warmed . floral touches added unexpected depth already strong porter ; great !",0.8578495326594725
21,Mornin' Delight,4.73,"

2018 Bottle opened Jan 2019

A: Very smooth coffee, sweet molasses, vanilla, maple, and mellow roasted malts. Very full and smooth but remains nicely balanced and not overboard. Perfect.

A: opaque black with medium brown head that quickly falls to a nice ring around the glass.

F: wonderful flavors of coffee, maple, molasses, vanilla, chocolate, mild roast malt. Perfectly blended flavors that follow directly from the nose. Very smooth.

M: Full body with nice medium-low carbonation. Fully coats the mouth and lingers in the pallet. Remaining chocolate, coffee and maple syrup with a balanced finish.

O: An excellent stout and one of the best I’ve had. The smooth and creamy coffee, maple, and mocha flavors melt into a delicious stout. Highly recommend and I like some more please.

 "," 2018 Bottle opened Jan 2019 : smooth coffee , sweet molasses , vanilla , maple , mellow roasted malts . full smooth remains nicely balanced overboard . Perfect . : opaque black medium brown head quickly falls nice ring around glass . F : wonderful flavors coffee , maple , molasses , vanilla , chocolate , mild roast malt . Perfectly blended flavors follow directly nose . smooth . : Full body nice medium-low carbonation . Fully coats mouth lingers pallet . Remaining chocolate , coffee maple syrup balanced finish . : excellent stout one best ’ . smooth creamy coffee , maple , mocha flavors melt delicious stout . Highly recommend like please .",0.8567333373689967
22,Swish,3.84,"

Canned 4/7/17; drank 4/16/17 @ the Yarchives.

Opaque yellow/orange appearance.

A violent pour yielded a huge off-white head; strong, frothy tree-run lace.

Pineapple, orange citrus & watermelon jolly rancher notes in the nose.

Medium mouthfeel.

Grapefruit & pineapple flavors up front; watermelon jolly rancher notes on the finish. No booze heat.

Too much mosaic (the watermelon jolly rancher flavor) for me to embrace, but this is a well-made NE IPA. It's just not for me.

 "," Canned 4/7/17 ; drank 4/16/17 @ Yarchives . Opaque yellow/orange appearance . violent pour yielded huge off-white head ; strong , frothy tree-run lace . Pineapple , orange citrus & watermelon jolly rancher notes nose . Medium mouthfeel . Grapefruit & pineapple flavors front ; watermelon jolly rancher notes finish . booze heat . much mosaic ( watermelon jolly rancher flavor ) embrace , well-made NE IPA . 's .",0.8563581011661138
23,Fyodor,4.5,"

Black-bodied beer under a finger of tan foam... Similar to Mikhail, but without that coffee infusion... Aromas and flavors of charred wood, roasted black malts, and cold espresso coffee; not too sweet - the bittersweet chocolate leans more toward the bitter side, with a drying finish... Medium-bodied and smooth - a very nice stout...

Brewed 1/25/18, bottled in October of 2018; Totalitarian forms the base stout, featuring roasted barley, unmalted oats, and pale, amber, and black malts, Warrior and Belma hops; aged 8 months in Kentucky bourbon barrels; 13.1% abv...

 "," Black-bodied beer finger tan foam ... Similar Mikhail , without coffee infusion ... Aromas flavors charred wood , roasted black malts , cold espresso coffee ; sweet - bittersweet chocolate leans toward bitter side , drying finish ... Medium-bodied smooth - nice stout ... Brewed 1/25/18 , bottled October 2018 ; Totalitarian forms base stout , featuring roasted barley , unmalted oats , pale , amber , black malts , Warrior Belma hops ; aged 8 months Kentucky bourbon barrels ; 13.1 % abv ...",0.8557796722876471
24,Apple Brandy Barrel Noir,4.23,"

A: sweet and light boozy with green apple, cocoa nibs, plum, dark red fruits, licorice

A: opaque black with little head, light carbonation.

F: apple cider, roasted malts, caramel, fog, prune, rasin, toffee

M: medium body with moderate carbonation. Finishes balanced with smoothly and silky roasted malts, charred oak, and green apple

O: very nice beer. Blend of roasty malts, some char, and green apples.

 "," : sweet light boozy green apple , cocoa nibs , plum , dark red fruits , licorice : opaque black little head , light carbonation . F : apple cider , roasted malts , caramel , fog , prune , rasin , toffee : medium body moderate carbonation . Finishes balanced smoothly silky roasted malts , charred oak , green apple : nice beer . Blend roasty malts , char , green apples .",0.8556731791424486
25,Coolship Red,4.61,"

Look: Pink/red Clear with small white head that recedes immediately. Has medium carbonation.
Smell: Tart, raspberries, cheese, cherry pits, and funk.
Taste: Very tart, raspberries, cheese, and funk.
Mouthfeel: Light with a dry finish.
Overall: A very good wild ale from Allagash.

 "," Look : Pink/red Clear small white head recedes immediately . medium carbonation . Smell : Tart , raspberries , cheese , cherry pits , funk . Taste : tart , raspberries , cheese , funk . Mouthfeel : Light dry finish . Overall : good wild ale Allagash .",0.8551976908749915
26,Doppelganger,4.55,"

A: Murkey gold with thick foam and lacing that lasts entire beer.
N: Lots of lemon, orange, mango, peach, and other tropical notes.
T: Very bright citrus flavors, soft feel, creamy, some minor bite.
M: Medium feel, very creamy notes with a light bite on the back side.
O: A rich and flavorful DIPA, ABV is very well hidden and this is just a treat to drink.

 "," : Murkey gold thick foam lacing lasts entire beer . N : Lots lemon , orange , mango , peach , tropical notes . : bright citrus flavors , soft feel , creamy , minor bite . : Medium feel , creamy notes light bite back side . : rich flavorful DIPA , ABV well hidden treat drink .",0.8548992568379185
27,Double Dry Hopped Sleeper Street,3.9,"

Canned 9/27/16; drank 10/10/16 @ the Yarchives.

Opaque dull orange appearance.

A rough pour yielded a HUGE white head; strong, frothy lace.

Mango, orange citrus & caramel notes in the nose.

Medium mouthfeel.

Orange citrus & cane sugar flavors up front; mild, smooth caramel notes on the finish.

More malty than I expected but still enjoyable.

 "," Canned 9/27/16 ; drank 10/10/16 @ Yarchives . Opaque dull orange appearance . rough pour yielded HUGE white head ; strong , frothy lace . Mango , orange citrus & caramel notes nose . Medium mouthfeel . Orange citrus & cane sugar flavors front ; mild , smooth caramel notes finish . malty expected still enjoyable .",0.8543524211038931
28,Madagascar,4.41,"

Picked this up in Jenks, OK; thrilled to find it...

Pour an effervescent ebony with a thumb+ of caramel colored head. Visciuos, zero head retention & lacing

S: Dark fruit, woody notes, cola scent, subtle booze notes, caramel & vanilla late

T: Vanilla, marshmallow, coffee, chicory, cola & dryness up front. Dark fruit,faint dark chocolate, a little more vanilla, & woody dryness as this warms along with Dark Rum. Finishes a little dry, figgy, with vanilla & cola

MF: Medium body, subtle carbonation, warming

Sublime BA Stout, drinks great for the ABV, thrilled I finally stumbled into one

 "," Picked Jenks , OK ; thrilled find ... Pour effervescent ebony thumb+ caramel colored head . Visciuos , zero head retention & lacing : Dark fruit , woody notes , cola scent , subtle booze notes , caramel & vanilla late : Vanilla , marshmallow , coffee , chicory , cola & dryness front . Dark fruit , faint dark chocolate , little vanilla , & woody dryness warms along Dark Rum . Finishes little dry , figgy , vanilla & cola MF : Medium body , subtle carbonation , warming Sublime BA Stout , drinks great ABV , thrilled finally stumbled one",0.8540429581934317
29,Trappist Westvleteren 8 (VIII),4.18,"

Quite ascetic as other Wv beers.
Excellent look, eternal as hell retention, tons of laces and foam rocks.
Rather ordinary aroma characteristrics - caramel, dark fruits.
Taste -
Medium body and carbomnation, nutty on a palate.
Fantastically balanced, but not the best dubbel.

 "," Quite ascetic Wv beers . Excellent look , eternal hell retention , tons laces foam rocks . Rather ordinary aroma characteristrics - caramel , dark fruits . Taste - Medium body carbomnation , nutty palate . Fantastically balanced , best dubbel .",0.8539655219666339
